2025-07-01 09:59:39 install binutils-aarch64-linux-gnu:arm64 <none> 2.40-2
2025-07-01 09:59:39 status half-installed binutils-aarch64-linux-gnu:arm64 2.40-2
2025-07-01 09:59:39 status unpacked binutils-aarch64-linux-gnu:arm64 2.40-2
2025-07-01 09:59:39 install binutils:arm64 <none> 2.40-2
2025-07-01 09:59:39 status half-installed binutils:arm64 2.40-2
2025-07-01 09:59:39 status unpacked binutils:arm64 2.40-2
2025-07-01 09:59:39 install libisl23:arm64 <none> 0.25-1.1
2025-07-01 09:59:39 status half-installed libisl23:arm64 0.25-1.1
2025-07-01 09:59:39 status unpacked libisl23:arm64 0.25-1.1
2025-07-01 09:59:39 install libmpfr6:arm64 <none> 4.2.0-1
2025-07-01 09:59:39 status half-installed libmpfr6:arm64 4.2.0-1
2025-07-01 09:59:39 status unpacked libmpfr6:arm64 4.2.0-1
2025-07-01 09:59:39 install libmpc3:arm64 <none> 1.3.1-1
2025-07-01 09:59:39 status half-installed libmpc3:arm64 1.3.1-1
2025-07-01 09:59:40 status unpacked libmpc3:arm64 1.3.1-1
2025-07-01 09:59:40 install cpp-12:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:40 status half-installed cpp-12:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:40 status unpacked cpp-12:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:40 install cpp:arm64 <none> 4:12.2.0-3
2025-07-01 09:59:40 status half-installed cpp:arm64 4:12.2.0-3
2025-07-01 09:59:40 status unpacked cpp:arm64 4:12.2.0-3
2025-07-01 09:59:40 install libassuan0:arm64 <none> 2.5.5-5
2025-07-01 09:59:40 status half-installed libassuan0:arm64 2.5.5-5
2025-07-01 09:59:40 status unpacked libassuan0:arm64 2.5.5-5
2025-07-01 09:59:40 install libreadline8:arm64 <none> 8.2-1.3
2025-07-01 09:59:40 status half-installed libreadline8:arm64 8.2-1.3
2025-07-01 09:59:40 status unpacked libreadline8:arm64 8.2-1.3
2025-07-01 09:59:40 install gpgconf:arm64 <none> 2.2.40-1.1
2025-07-01 09:59:40 status half-installed gpgconf:arm64 2.2.40-1.1
2025-07-01 09:59:40 status unpacked gpgconf:arm64 2.2.40-1.1
2025-07-01 09:59:40 install libksba8:arm64 <none> 1.6.3-2
2025-07-01 09:59:40 status half-installed libksba8:arm64 1.6.3-2
2025-07-01 09:59:40 status unpacked libksba8:arm64 1.6.3-2
2025-07-01 09:59:40 install libsasl2-modules-db:arm64 <none> 2.1.28+dfsg-10
2025-07-01 09:59:40 status half-installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-07-01 09:59:40 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-07-01 09:59:40 install libsasl2-2:arm64 <none> 2.1.28+dfsg-10
2025-07-01 09:59:40 status half-installed libsasl2-2:arm64 2.1.28+dfsg-10
2025-07-01 09:59:40 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2025-07-01 09:59:40 install libldap-2.5-0:arm64 <none> 2.5.13+dfsg-5
2025-07-01 09:59:40 status half-installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-07-01 09:59:40 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-07-01 09:59:40 install libnpth0:arm64 <none> 1.6-3
2025-07-01 09:59:40 status half-installed libnpth0:arm64 1.6-3
2025-07-01 09:59:40 status unpacked libnpth0:arm64 1.6-3
2025-07-01 09:59:40 install dirmngr:arm64 <none> 2.2.40-1.1
2025-07-01 09:59:40 status half-installed dirmngr:arm64 2.2.40-1.1
2025-07-01 09:59:41 status unpacked dirmngr:arm64 2.2.40-1.1
2025-07-01 09:59:41 install libdpkg-perl:all <none> 1.21.22
2025-07-01 09:59:41 status half-installed libdpkg-perl:all 1.21.22
2025-07-01 09:59:41 status unpacked libdpkg-perl:all 1.21.22
2025-07-01 09:59:41 install patch:arm64 <none> 2.7.6-7
2025-07-01 09:59:41 status half-installed patch:arm64 2.7.6-7
2025-07-01 09:59:41 status unpacked patch:arm64 2.7.6-7
2025-07-01 09:59:41 install make:arm64 <none> 4.3-4.1
2025-07-01 09:59:41 status half-installed make:arm64 4.3-4.1
2025-07-01 09:59:41 status unpacked make:arm64 4.3-4.1
2025-07-01 09:59:41 install dpkg-dev:all <none> 1.21.22
2025-07-01 09:59:41 status half-installed dpkg-dev:all 1.21.22
2025-07-01 09:59:41 status unpacked dpkg-dev:all 1.21.22
2025-07-01 09:59:41 install fonts-dejavu-core:all <none> 2.37-6
2025-07-01 09:59:41 status half-installed fonts-dejavu-core:all 2.37-6
2025-07-01 09:59:41 status unpacked fonts-dejavu-core:all 2.37-6
2025-07-01 09:59:41 install fontconfig-config:arm64 <none> 2.14.1-4
2025-07-01 09:59:41 status half-installed fontconfig-config:arm64 2.14.1-4
2025-07-01 09:59:41 status unpacked fontconfig-config:arm64 2.14.1-4
2025-07-01 09:59:41 install libcc1-0:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:41 status half-installed libcc1-0:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 status unpacked libcc1-0:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 install libgomp1:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:41 status half-installed libgomp1:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 status unpacked libgomp1:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 install libitm1:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:41 status half-installed libitm1:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 status unpacked libitm1:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 install libatomic1:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:41 status half-installed libatomic1:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 status unpacked libatomic1:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 install libasan8:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:41 status half-installed libasan8:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 status unpacked libasan8:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:41 install liblsan0:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:41 status half-installed liblsan0:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 status unpacked liblsan0:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 install libtsan2:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:42 status half-installed libtsan2:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 status unpacked libtsan2:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 install libubsan1:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:42 status half-installed libubsan1:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 status unpacked libubsan1:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 install libhwasan0:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:42 status half-installed libhwasan0:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 status unpacked libhwasan0:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 install libgcc-12-dev:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:42 status half-installed libgcc-12-dev:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 status unpacked libgcc-12-dev:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:42 install gcc-12:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:42 status half-installed gcc-12:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:43 status unpacked gcc-12:arm64 12.2.0-14+deb12u1
